Delta.Compl1.49_S49	Delta.Compl1.67_S67	Delta.Compl3.51_S51	Delta.Compl3.69_S69	Delta.Compl4.52_S52	Delta.Compl4.70_S70	Delta.Compl5.53_S53	Delta.Compl5.71_S71	Delta1.43_S43	Delta1.61_S61	Delta2.44_S44	Delta2.62_S62	Delta3.45_S45	Delta3.63_S63	Delta5.47_S47	Delta5.65_S65	WT2.38_S38	WT2.56_S56	WT3.39_S39	WT3.57_S57	WT4.40_S40	WT4.58_S58	WT5.41_S41	WT5.59_S59	Delta.m11	DeltaCompl.m13	DeltaCompl.m15	DeltaCompl.m16	DeltaCompl.m17	WT.m2	WT.m3	WT.m4	WT.m5	Delta.m7	Delta.m8	Delta.m9
OTU_49650	0	0	0	0	0	0	4	0	1	0	0	0	2	0	0	0	0	0	1	2	0	2	0	0	1	0	0	0	0	0	0	0	0	0	1	0
OTU_49651	1	1	4	2	7	0	1	0	0	0	3	0	0	0	5	0	0	0	4	0	4	0	0	0	1	0	4	0	0	2	0	0	0	0	0	0
OTU_49655	16	65	5	20	5	5	4	6	12	11	22	3	3	14	18	111	4	18	15	27	1	4	7	5	89	74	133	34	29	35	10	21	19	34	80	61
OTU_49680	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_49681	0	3	5	11	15	0	2	1	6	16	12	9	11	12	3	6	0	0	19	0	12	4	19	1	23	14	17	13	3	9	8	14	6	6	8	12
OTU_49694	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	2	0	6	0	0	0	0	0	0	0	0
OTU_49697	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	4	9	22	0	13	2	9	0	0	0
OTU_49704	0	0	0	1	1	0	0	2	0	27	0	5	0	0	0	0	0	0	0	0	0	6	1	0	28	6	2	10	0	8	3	2	0	3	3	1
OTU_49709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_49710	6	2	9	4	4	0	7	1	2	1	1	0	3	0	1	1	3	1	11	0	1	6	8	0	6	0	0	10	2	15	3	0	0	0	0	2
OTU_49717	0	0	0	0	0	0	0	0	0	2	0	11	1	1	0	0	0	0	0	0	1	92	0	0	0	0	0	7	0	5	4	0	7	0	2	15
OTU_49721	0	0	0	14	0	0	0	3	1	11	1	0	0	3	1	3	0	0	2	0	2	2	1	1	7	3	4	4	0	8	4	3	0	0	3	3
OTU_49727	0	1	0	1	0	0	1	0	0	1	1	0	0	0	0	0	1	8	0	4	0	0	0	3	1	0	0	2	1	3	0	1	1	0	2	0
OTU_49733	1	1	0	0	1	1	1	0	0	0	1	0	1	2	0	2	1	2	0	4	0	0	1	0	2	2	0	2	2	1	0	2	3	2	2	1
OTU_49734	0	0	0	4	0	0	2	0	1	2	11	0	1	1	3	0	0	0	6	0	4	6	2	0	4	0	1	3	0	3	0	2	0	0	1	1
OTU_49737	3	6	3	7	0	0	0	0	1	0	0	0	0	0	0	0	6	0	1	42	0	0	2	2	17	0	0	2	0	11	3	0	11	1	0	0
OTU_49742	0	1	0	13	8	0	0	2	8	2	21	3	14	20	0	14	0	2	37	0	33	10	0	6	6	8	27	6	5	16	8	12	4	6	11	10
OTU_49751	0	1	6	2	0	1	1	0	2	0	0	1	0	0	0	1	0	4	0	2	0	1	2	0	4	0	0	0	0	1	2	0	0	0	0	0
OTU_49755	0	0	1	0	3	0	4	0	0	0	3	0	0	0	1	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	1	0
OTU_49756	2	4	0	0	0	0	15	3	0	0	0	29	2	10	0	0	0	0	0	2	26	127	0	0	5	0	0	0	5	0	0	0	0	0	37	14
OTU_49771	0	0	0	0	0	0	0	0	0	11	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	21	2	1	1	1	2	0	0	0
OTU_49777	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	12	4	0	11	0	0	4	3	7	0	0	0
OTU_49782	62	16	9	14	0	0	22	3	11	0	0	0	8	1	4	2	8	1	2	0	0	2	1	4	26	4	22	10	12	15	41	1	4	2	0	0
OTU_49798	1	0	0	4	1	0	0	1	2	3	0	3	0	1	1	0	2	0	3	0	0	1	2	1	7	11	0	5	1	7	6	1	1	0	2	4
OTU_49801	1	1	0	0	0	0	1	1	0	0	0	8	0	1	0	0	0	0	1	0	1	5	0	0	3	0	0	0	0	0	0	1	1	4	6	0
OTU_49802	0	0	0	0	5	0	0	0	0	3	0	3	5	0	0	0	0	0	1	0	0	42	2	0	0	0	0	2	0	0	1	0	2	0	1	1
OTU_49806	3	2	2	1	74	1	6	0	0	1	0	0	1	0	0	0	4	0	0	0	0	2	0	0	1	0	0	2	3	1	0	0	1	0	0	0
OTU_49808	7	1	1	0	0	0	8	0	8	0	3	1	2	0	10	2	0	0	25	0	9	1	16	0	0	0	3	1	2	3	6	2	0	0	2	0
OTU_49814	45	4	51	2	15	1	63	2	21	0	17	4	19	1	13	4	38	0	80	0	29	18	39	1	25	11	13	21	11	78	32	5	5	1	0	5
OTU_49833	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_49834	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	11	11	8	22	0	2	5	13	7	5	0	1
OTU_49844	3	6	3	4	0	1	2	0	1	3	1	3	0	1	0	2	1	5	0	2	0	3	2	1	8	3	4	1	4	1	2	2	5	4	5	2
OTU_49848	0	0	1	0	1	0	0	0	2	0	1	0	1	0	3	0	1	0	5	0	4	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0
OTU_49849	2	0	1	1	3	0	1	0	0	0	0	0	0	0	1	0	5	13	3	8	0	1	11	2	3	3	0	2	0	1	0	0	8	1	0	0
OTU_49856	0	0	0	0	0	0	0	0	1	3	0	0	0	0	1	0	0	0	0	0	0	11	1	0	1	1	0	2	0	0	3	0	2	0	0	3
OTU_49857	2	1	1	22	5	0	1	4	0	1	5	14	3	6	3	3	0	0	3	0	2	2	0	0	77	13	9	11	4	4	4	5	6	6	3	4
OTU_49869	0	2	0	0	0	0	0	2	4	7	0	4	1	1	0	1	0	0	0	0	3	6	0	1	3	2	4	1	2	1	1	2	1	2	1	0
OTU_49872	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	4	1	5	13	7	0	2	7	2	0	0	1
OTU_49880	0	1	0	24	13	1	1	6	0	13	7	3	2	10	2	19	1	0	5	0	9	2	2	0	13	5	14	7	1	12	8	11	7	3	3	12
OTU_49895	0	0	0	2	0	0	0	1	0	20	1	7	0	0	0	2	0	0	2	0	1	4	0	1	28	5	5	11	1	7	2	3	6	3	2	1
OTU_49899	15	8	1	1	46	22	0	2	5	5	2	2	0	5	0	0	14	14	6	23	0	3	4	7	2	2	0	7	0	2	3	0	54	4	6	0
OTU_49916	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	7	5	1	0	0	0	0	0	0	0	0	0	2	1	0	0	3	0	0
OTU_49918	3	0	1	4	0	0	3	4	1	1	0	1	0	4	1	1	2	1	0	3	2	2	1	1	4	0	1	1	1	2	1	1	0	0	3	0
OTU_49921	1	0	1	0	0	0	0	0	1	11	0	1	0	0	0	0	1	0	0	0	2	22	0	0	1	5	1	7	2	0	2	1	5	0	0	1
OTU_49929	6	5	7	5	2	3	8	1	1	1	3	1	1	5	1	1	8	13	2	43	1	18	0	4	11	0	0	2	12	21	6	2	12	0	16	1
OTU_49937	0	0	3	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	1	0	1	0	1	0	1	2	2	13	10	0	1	4	18	0	1	2
OTU_49940	1	0	1	2	0	0	2	3	2	15	0	0	0	2	0	0	0	1	0	0	0	0	0	1	4	0	0	3	0	4	4	0	5	1	0	0
OTU_49947	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	5	2	0	1	11	0	0	0	1
OTU_49952	8	10	1	0	0	0	6	6	0	0	0	0	0	1	0	1	6	0	1	0	0	0	1	1	18	6	0	5	20	8	12	2	5	0	0	0
OTU_49956	0	0	3	37	5	0	0	1	1	3	2	2	3	1	0	2	2	0	7	0	3	22	1	0	12	2	1	6	3	2	1	2	1	2	10	0
OTU_49961	2	3	0	0	0	0	2	1	6	17	2	3	9	2	0	0	0	0	4	1	4	12	6	3	0	2	3	2	1	2	5	3	2	1	2	1
OTU_49968	7	15	75	60	286	3	25	4	6	5	52	22	179	18	4	23	39	12	666	0	40	13	135	3	75	79	223	78	39	21	17	20	15	48	17	98
OTU_49973	1	2	1	12	6	0	1	1	0	5	0	0	2	11	0	0	4	2	2	2	0	5	0	0	0	0	0	3	0	4	2	2	1	0	2	2
OTU_49981	1	2	0	2	1	0	3	0	1	0	0	0	0	1	0	1	0	2	0	0	0	3	3	0	4	2	0	0	2	1	0	2	3	4	0	1
OTU_49983	0	1	1	0	3	2	0	0	0	0	0	0	0	0	0	0	1	5	0	5	0	0	2	0	1	3	0	0	0	1	0	0	0	0	0	0
OTU_49984	0	2	0	2	0	1	1	1	0	0	2	1	2	0	0	2	0	4	1	3	0	1	2	0	3	4	6	0	2	10	1	0	1	0	0	5
OTU_49989	1	6	0	8	0	3	0	6	0	0	0	0	0	0	0	0	0	1	1	1	0	0	2	1	0	1	0	0	0	1	0	0	0	0	0	0
OTU_49992	114	67	31	54	7	5	3	0	5	3	1	2	0	12	1	0	33	12	20	175	0	4	19	8	161	2	0	45	1	20	16	0	217	0	0	1
OTU_50028	21	6	29	25	3	0	1	0	5	5	0	15	3	0	1	1	17	0	38	12	8	24	5	2	15	25	17	3	9	25	39	0	26	49	7	33
OTU_50051	0	0	0	0	1	0	0	0	0	0	0	9	0	0	0	3	0	0	0	0	0	0	0	0	1	24	2	3	2	0	2	21	2	0	2	1
OTU_50055	0	0	0	3	1	0	0	1	1	7	9	3	3	3	0	0	0	0	2	0	8	4	0	1	6	2	9	7	0	9	6	4	6	2	5	11
OTU_50061	2	2	1	3	2	0	0	0	0	0	0	0	0	0	2	1	4	15	0	1	0	1	0	1	8	1	0	1	0	7	0	0	1	0	1	0
OTU_50066	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	2	1	2	4	2	0	1	3	3	1	0	1
OTU_50067	0	2	1	11	6	0	2	4	4	10	5	2	5	9	3	3	0	4	8	0	2	8	0	8	6	9	18	5	4	10	1	8	4	4	12	10
OTU_50075	3	6	1	0	5	0	0	0	0	0	0	0	0	1	0	0	2	0	2	18	0	0	1	2	0	0	0	4	0	3	0	0	5	2	1	0
OTU_50077	2	1	6	1	1	0	0	0	0	1	1	1	0	0	0	0	1	4	0	1	0	3	2	0	9	2	0	0	5	1	0	8	11	0	3	1
OTU_50079	0	0	0	0	1	0	0	0	0	30	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	2	0	0	2	0	0	0
OTU_50083	6	4	5	3	3	1	0	0	1	0	0	0	0	3	1	0	2	0	10	34	0	1	7	3	6	0	0	6	0	1	4	0	21	1	0	0
OTU_50092	3	2	0	0	0	0	6	4	1	4	4	3	0	6	8	2	0	0	9	0	3	1	0	2	4	12	8	5	2	3	4	4	20	2	5	0
OTU_50103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_50104	35	24	4	14	4	3	26	32	1	5	11	2	0	1	7	14	8	6	1	0	0	1	6	8	25	5	2	12	36	4	9	18	19	0	4	0
OTU_50130	0	0	0	0	1	0	0	0	0	18	1	6	0	0	0	0	0	0	1	0	2	17	0	2	3	4	0	23	2	3	3	2	2	0	0	4
OTU_50137	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	8	0	0	4	0	0	1	0	1	0	2	0	1	2	0
OTU_50138	4	3	1	3	1	0	1	4	1	0	1	3	0	1	1	0	5	16	2	21	0	0	1	3	24	12	1	10	14	0	5	2	8	9	7	3
OTU_50149	0	0	0	0	1	0	0	0	0	10	0	4	1	0	0	0	0	0	1	0	1	1	1	0	0	0	0	16	1	1	4	0	0	0	0	2
OTU_50157	2	2	0	0	0	0	3	2	0	8	2	9	0	2	4	3	0	0	1	0	2	10	2	3	4	2	3	10	3	0	3	3	2	2	6	1
OTU_50164	0	0	0	27	2	0	4	9	3	3	6	4	1	8	1	12	1	4	9	2	1	3	0	7	9	4	1	14	4	5	9	3	3	1	7	2
OTU_50179	3	0	5	0	3	1	0	0	1	0	1	0	0	0	1	0	0	2	7	0	1	0	3	0	0	0	1	0	0	1	1	0	0	0	1	0
OTU_50181	0	7	0	1	0	0	3	0	1	1	0	1	0	1	0	0	2	30	0	4	1	5	0	0	6	1	0	2	3	43	0	0	0	0	5	5
OTU_50203	17	7	2	19	0	0	0	0	4	0	3	0	0	2	1	0	21	0	5	17	0	1	1	0	24	0	0	15	0	17	8	0	33	0	5	0
OTU_50212	1	0	3	6	0	0	5	2	0	0	1	0	3	0	0	1	1	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	2	0	5	1
OTU_50216	0	0	0	0	1	0	0	0	0	6	1	0	0	1	0	0	0	0	0	0	0	13	0	0	0	0	0	6	0	0	0	1	0	0	0	6
OTU_50219	0	0	0	13	3	1	0	1	0	3	4	7	0	12	0	2	0	0	5	0	2	3	2	1	7	9	15	4	3	13	12	12	2	8	4	5
OTU_50227	2	1	0	1	0	1	3	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	6	1	0	3	0	1	2	1	0	2	1	1
OTU_50229	0	0	0	5	7	0	0	1	0	2	3	5	7	5	1	0	0	0	4	0	6	7	0	1	3	9	2	6	4	4	4	5	0	5	0	4
OTU_50235	1	0	0	22	2	0	0	4	0	6	3	13	3	1	4	2	2	2	1	0	4	6	0	1	58	10	2	8	5	5	9	16	1	18	4	16
OTU_50246	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	6	0	0	0	0	1	0	0	1
OTU_50247	0	0	0	0	0	0	0	1	1	2	4	1	2	3	0	0	0	0	2	0	0	0	0	0	8	0	3	1	1	2	9	3	1	0	4	5
OTU_50251	6	5	2	1	3	1	4	0	2	2	0	3	0	0	2	0	3	5	1	1	0	1	2	2	11	3	1	5	12	2	1	2	6	1	0	4
OTU_50255	0	0	0	0	0	0	0	0	0	10	0	1	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	3	0	0	0	0	1	0	0	2
OTU_50257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_50258	0	0	1	1	1	0	0	0	0	3	12	3	3	0	3	0	0	0	8	0	2	5	0	0	10	2	0	2	2	1	1	5	0	1	0	4
OTU_50262	0	0	1	0	0	0	0	0	0	0	2	5	1	0	0	0	0	0	1	0	1	0	0	0	10	3	3	16	2	0	4	3	10	2	3	10
OTU_50273	3	2	1	7	0	0	0	1	3	1	0	8	0	3	0	0	2	6	2	33	0	16	1	4	13	0	0	4	2	10	5	0	8	1	1	7
OTU_50279	1	2	0	29	7	0	2	0	1	2	10	2	0	3	2	4	0	0	10	0	2	3	4	1	16	5	8	9	1	4	6	5	3	2	0	3
OTU_50281	28	7	8	1	8	0	13	1	6	3	1	0	0	0	1	0	15	0	0	0	0	0	9	0	7	4	0	5	12	24	25	1	0	0	0	0
OTU_50287	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	2	0	1	5	3	0	1	3	3	0	0	0
OTU_50289	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	8	2	0	1	2	2	1	0	3
OTU_50293	3	4	0	0	0	0	13	4	4	11	8	8	2	3	9	5	0	0	8	0	4	4	4	2	5	14	17	7	7	2	15	4	22	3	9	2
OTU_50304	0	0	0	0	14	0	0	1	0	0	5	47	0	3	0	0	0	0	0	0	1	0	3	0	9	100	21	27	16	0	12	60	8	1	0	7
OTU_50305	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	13	0	0	1	1	2	1	0	0	0	2	4	0	2	0	0	0
OTU_50307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	1	0	0	0	5	0	0	0
OTU_50309	0	0	5	1	0	0	0	0	0	0	2	1	0	0	1	0	4	0	7	2	6	12	0	0	0	0	2	0	0	2	0	1	0	0	1	1
OTU_50311	0	2	0	3	0	0	0	0	0	0	0	3	0	1	0	0	1	0	0	8	1	2	0	0	25	0	0	0	0	5	0	0	2	0	1	2
OTU_50312	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	4	12	0	11	0	0	1	0	2	1	0	0	0	6	1	0	2	0	0	0
OTU_50322	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	1
OTU_50323	1	0	0	0	0	0	2	1	2	8	5	1	2	7	7	0	0	0	3	0	6	12	4	1	0	2	2	0	0	1	1	0	4	0	1	4
OTU_50325	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	3	6	3	8	3	0	1	6	2	0	0	0
OTU_50328	0	0	1	6	2	0	0	0	1	0	5	0	0	3	1	3	0	0	4	0	1	2	1	2	11	4	4	0	0	5	5	2	0	7	1	5
OTU_50332	0	0	0	0	0	1	0	0	1	28	0	1	3	2	2	4	0	0	3	0	1	4	1	1	5	3	5	4	0	5	2	2	0	1	0	1
OTU_50338	6	6	2	2	1	0	0	0	0	1	1	1	1	1	0	2	2	0	1	0	1	3	1	1	14	0	2	1	2	3	2	1	1	0	7	0
OTU_50347	4	10	2	3	0	3	1	5	1	0	2	0	1	4	0	3	9	10	0	13	1	13	0	1	7	1	0	2	4	7	2	5	5	0	25	5
OTU_50355	0	1	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_50356	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	59	0	0	1	0	0	0	0	0	2	0	4	0	0	8
OTU_50360	2	0	2	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	2
OTU_50361	1	0	0	6	2	0	0	1	1	1	2	6	5	7	1	1	0	1	7	0	4	3	1	0	2	1	2	3	0	4	2	1	0	2	2	3
OTU_50365	0	0	0	0	1	0	3	0	0	1	0	0	0	1	0	0	0	3	0	1	0	1	0	0	0	2	0	0	1	0	0	0	0	0	2	1
OTU_50366	10	10	9	13	22	11	23	2	2	3	24	8	0	0	19	6	6	98	11	46	5	10	6	8	27	4	8	4	20	16	2	13	29	2	24	7
OTU_50375	1	1	1	10	3	0	1	3	0	4	1	10	1	0	1	2	0	0	7	0	3	9	0	1	9	4	6	2	3	3	2	2	2	4	1	1
OTU_50381	1	0	0	0	0	0	2	0	0	10	3	3	0	1	0	0	0	0	0	0	1	5	0	3	2	2	3	9	1	0	1	5	4	4	0	5
OTU_50385	7	4	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	17	1	4	1	3	0	2	0	0	0	0	1	0	16	0	4	0
OTU_50387	2	2	2	1	1	0	4	0	0	0	0	1	0	1	0	0	0	1	1	3	0	2	2	0	7	1	0	1	3	0	2	0	1	2	1	2
OTU_50390	1	0	0	3	2	0	0	1	4	11	5	2	7	4	0	10	0	0	5	1	4	3	2	1	7	0	17	0	0	14	1	1	2	0	1	1
OTU_50391	7	13	12	20	0	0	1	1	4	1	0	2	0	4	0	0	9	0	1	35	0	3	10	7	57	2	0	18	2	40	15	0	20	0	4	1
OTU_50402	1	1	0	0	0	0	0	0	0	1	2	0	9	0	1	3	0	0	0	0	0	0	0	0	0	1	7	0	0	0	8	8	0	2	3	0
OTU_50404	1	0	0	0	2	0	0	0	3	1	0	0	0	0	1	1	0	0	5	0	0	0	2	1	0	3	1	0	0	0	0	3	0	2	0	0
OTU_50405	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	1	0	2	54	0	0	4	0	0	7	0	0	6	0	12	0	0	6
OTU_50410	0	0	0	7	0	1	1	1	0	3	2	2	0	7	0	4	0	0	0	1	0	0	1	3	0	0	6	16	1	0	4	1	0	0	12	0
OTU_50414	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	1	0	4	0	0	0	1	0	0	0	0	0	0	0	1	0	0	3	0	0
OTU_50415	8	0	0	1	0	0	0	0	1	4	0	0	0	0	0	0	4	1	0	0	0	0	1	2	7	2	0	5	0	2	4	0	1	0	0	0
OTU_50419	0	4	0	7	4	2	1	2	1	0	0	1	1	0	1	5	0	0	1	0	0	0	1	4	0	2	5	2	1	1	0	0	0	0	1	0
OTU_50423	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	5	0	0	6	0	16	0	0	1
OTU_50433	0	0	0	2	0	1	3	0	2	0	1	0	0	0	1	0	1	0	0	0	1	3	1	1	1	0	0	0	1	0	0	1	4	0	0	0
OTU_50434	7	18	11	18	0	0	0	1	2	1	3	4	7	8	0	2	8	0	12	21	14	33	3	4	18	0	0	1	2	23	9	1	12	0	5	17
OTU_50440	0	6	3	20	33	1	5	7	2	3	6	10	28	14	0	25	2	11	20	1	0	1	12	5	28	61	38	14	15	3	4	11	4	8	26	62
OTU_50456	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	1	1	0	1	0	0	0	2
OTU_50457	0	0	0	0	0	0	0	0	1	19	3	9	2	0	0	0	0	0	0	0	1	17	2	0	1	2	1	14	1	3	3	0	1	0	1	1
OTU_50467	2	0	0	1	2	0	3	0	0	0	1	0	0	0	0	0	1	0	0	2	1	1	1	1	4	1	0	0	2	1	0	0	1	1	0	0
OTU_50469	0	0	0	0	4	0	0	0	0	1	0	9	7	0	0	0	0	0	3	0	1	61	1	0	0	0	0	4	0	1	0	0	2	0	2	0
OTU_50474	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
OTU_50475	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	2	0	4	2	0	0	10	8	4	8	6	0	5	8	6	0	3	0
OTU_50483	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	4	2	0	4	2	1	1	7	3	0	0	2
OTU_50485	1	1	0	0	0	0	2	3	0	28	2	3	0	0	0	3	0	0	2	0	2	5	3	0	2	1	4	5	0	1	0	0	2	0	4	0
OTU_50493	1	9	0	31	1	1	1	0	0	1	0	0	0	0	0	0	1	2	1	0	0	0	2	7	3	0	0	0	0	4	1	2	0	0	5	0
OTU_50499	0	7	0	27	0	4	0	9	1	1	3	1	0	10	0	0	1	1	4	4	0	0	1	6	8	7	0	5	1	3	1	1	4	2	6	1
OTU_50507	3	0	2	0	0	0	4	0	1	0	3	2	2	0	4	2	1	5	5	2	0	2	1	1	4	4	4	0	4	2	1	4	2	1	6	4
OTU_50512	0	0	0	0	0	0	0	0	0	0	5	6	0	0	0	0	0	0	0	0	4	4	0	0	10	2	8	4	3	0	0	14	17	1	4	1
OTU_50517	14	19	34	34	41	3	25	1	9	4	5	14	6	12	2	0	24	73	12	69	30	51	26	1	93	43	0	14	8	115	26	10	23	22	40	72
OTU_50986	3	8	9	5	11	1	9	1	3	1	7	2	3	5	4	0	14	7	11	9	2	14	10	0	9	6	1	2	7	1	1	4	9	2	8	2
OTU_50989	0	0	0	0	2	0	0	0	0	1	1	0	1	0	0	0	0	0	2	0	9	14	0	0	0	3	0	5	0	0	0	1	2	0	0	1
OTU_50990	1	3	2	23	4	3	0	11	0	5	0	3	2	6	0	2	4	4	1	1	4	1	0	5	9	2	3	7	2	2	0	6	0	1	2	3
OTU_50998	3	3	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0
OTU_50999	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	2	20	0	0	0	0	0	0	0	0	0	0	1	0	1	0
OTU_51000	2	0	0	0	0	0	0	0	1	6	0	7	1	0	0	0	0	0	1	0	3	35	0	0	0	1	0	6	1	1	2	3	2	1	1	2
OTU_51001	0	0	0	0	0	0	0	0	0	3	2	1	1	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	3	1	0	0	0	0	0
OTU_51003	0	0	0	2	0	1	0	1	0	4	0	8	1	0	0	0	0	0	0	0	2	2	0	0	19	2	2	7	1	2	2	3	0	4	1	3
OTU_51007	0	0	3	3	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	7	0	0	5	0	1	0	0	0	0	2	0	0	13	0	0	0
OTU_51010	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	8	2	3	4	5	1	5	6	7	2	3	1
OTU_51014	0	0	0	2	0	0	2	0	2	4	1	0	0	2	0	1	0	0	1	0	1	2	0	1	5	1	3	2	1	3	4	2	1	3	1	3
OTU_51019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_51020	5	0	0	0	0	0	3	3	0	1	0	1	0	1	0	0	0	0	2	1	4	23	1	0	1	0	0	2	0	0	5	0	6	0	1	1
OTU_51024	6	15	0	26	7	7	5	10	3	0	0	1	0	3	0	0	7	12	1	11	0	1	2	7	3	1	0	0	1	2	0	3	1	0	4	2
OTU_51034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_51035	0	0	1	0	0	0	0	0	0	0	0	10	0	2	0	0	0	0	2	0	1	5	2	0	44	24	20	37	17	0	12	27	33	11	5	8
OTU_51055	6	5	0	0	0	0	5	1	2	5	1	3	0	6	1	1	0	0	0	0	0	3	2	3	1	2	2	0	4	1	3	0	3	0	1	0
OTU_51065	2	2	0	0	0	0	6	4	0	3	0	7	0	3	0	2	0	0	7	0	2	7	0	5	3	2	3	4	3	0	1	1	1	4	0	0
OTU_51072	0	3	1	1	0	0	1	0	0	1	2	1	0	1	0	0	1	0	1	3	0	0	0	0	3	7	0	0	0	0	0	1	3	1	2	0
OTU_51073	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_51074	0	0	0	0	0	0	0	1	2	2	10	5	1	8	2	0	0	0	1	0	0	0	1	7	0	0	0	5	0	0	0	0	0	0	12	0
OTU_51077	0	0	0	0	0	0	1	2	1	28	3	0	0	1	0	0	0	0	0	0	0	3	0	3	0	0	0	1	1	0	3	0	0	0	6	0
OTU_51082	0	0	0	0	1	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	8	0	2	0	0	0	4	1	0	0	1
OTU_51086	4	4	3	7	0	0	1	2	1	0	4	3	0	2	0	5	4	1	2	2	0	21	0	2	11	0	5	0	0	10	0	2	1	0	7	0
